epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,929.912,1.74107,1.20851,0.01228,0.74964,0.72928,0.75172,0.31181,2.03129,1.04066,0.01758,0.0011684,0.0011684,0.0011684
44,949.271,1.74505,1.19874,0.01188,0.76028,0.75348,0.76744,0.33447,2.01047,0.9854,0.01716,0.0011486,0.0011486,0.0011486
45,969.179,1.70714,1.20458,0.01194,0.75654,0.73825,0.72763,0.32922,1.93572,1.07613,0.01617,0.0011288,0.0011288,0.0011288
46,990.284,1.72227,1.18715,0.01191,0.8164,0.73702,0.76552,0.33247,1.93644,1.12974,0.01605,0.001109,0.001109,0.001109
47,1009.96,1.69188,1.18142,0.01138,0.76943,0.75591,0.77125,0.33815,1.94771,1.18968,0.01615,0.0010892,0.0010892,0.0010892
48,1029.55,1.67178,1.22184,0.01158,0.81259,0.77348,0.789,0.3523,1.99637,1.03055,0.01684,0.0010694,0.0010694,0.0010694
49,1050.47,1.69653,1.16228,0.01166,0.75226,0.72139,0.72519,0.32641,1.99268,1.04451,0.01655,0.0010496,0.0010496,0.0010496
50,1071.05,1.64391,1.19837,0.01147,0.8082,0.79152,0.78054,0.33427,2.00953,0.91721,0.01751,0.0010298,0.0010298,0.0010298
51,1091.83,1.67055,1.17712,0.01137,0.78374,0.74083,0.75074,0.32502,2.03668,1.01539,0.01713,0.00101,0.00101,0.00101
52,1114.21,1.68429,1.10127,0.01187,0.82028,0.77348,0.76719,0.33994,2.01605,1.01152,0.01735,0.0009902,0.0009902,0.0009902
53,1134.44,1.63591,1.11258,0.01142,0.78612,0.75138,0.73061,0.32222,1.98245,1.02044,0.01651,0.0009704,0.0009704,0.0009704
54,1154.21,1.6984,1.16842,0.01175,0.76804,0.78453,0.79211,0.35554,2.00076,0.96851,0.01683,0.0009506,0.0009506,0.0009506
55,1176.09,1.62586,1.12717,0.01094,0.81903,0.72376,0.77596,0.33832,1.94923,1.0573,0.01633,0.0009308,0.0009308,0.0009308
56,1195.76,1.64021,1.07936,0.01108,0.73733,0.72376,0.7099,0.31371,2.06082,0.98546,0.0173,0.000911,0.000911,0.000911
57,1215.83,1.65293,1.15851,0.01125,0.79826,0.74329,0.77098,0.33915,1.94161,1.07445,0.01619,0.0008912,0.0008912,0.0008912
58,1237.76,1.62733,1.09754,0.01114,0.80322,0.77348,0.77941,0.3389,2.02136,0.91556,0.01688,0.0008714,0.0008714,0.0008714
59,1257.4,1.59997,1.20469,0.01091,0.84896,0.75138,0.77707,0.35126,1.96711,0.9909,0.01658,0.0008516,0.0008516,0.0008516
60,1276.94,1.62108,1.10251,0.01099,0.79165,0.77348,0.74948,0.33085,1.9328,1.10497,0.01627,0.0008318,0.0008318,0.0008318
61,1298.79,1.59924,1.04964,0.01098,0.74677,0.77348,0.74218,0.32695,1.94145,1.08255,0.01622,0.000812,0.000812,0.000812
62,1318.38,1.59613,1.0736,0.0106,0.79793,0.72928,0.75605,0.32163,2.02708,1.07105,0.01698,0.0007922,0.0007922,0.0007922
63,1338.11,1.60315,1.03423,0.01096,0.8076,0.76531,0.77251,0.33436,1.99782,0.9729,0.01675,0.0007724,0.0007724,0.0007724
64,1359.91,1.62664,1.07654,0.01074,0.81095,0.78209,0.79903,0.33301,1.95135,0.99316,0.01615,0.0007526,0.0007526,0.0007526
65,1379.59,1.57462,1.06072,0.01073,0.77694,0.76796,0.76614,0.33364,1.98644,1.00868,0.01672,0.0007328,0.0007328,0.0007328
66,1399.38,1.59081,1.05652,0.01118,0.80701,0.75691,0.76614,0.34199,1.95699,0.9711,0.0164,0.000713,0.000713,0.000713
67,1421.19,1.56842,1.03228,0.0106,0.8324,0.76832,0.79003,0.34719,1.93581,1.033,0.01606,0.0006932,0.0006932,0.0006932
68,1440.52,1.54038,0.97281,0.01035,0.80595,0.75721,0.77961,0.34913,1.91301,0.97971,0.01597,0.0006734,0.0006734,0.0006734
69,1460.19,1.58807,1.03433,0.01112,0.79337,0.77348,0.78714,0.34832,1.91225,1.09213,0.01594,0.0006536,0.0006536,0.0006536
70,1481.81,1.55166,1.04451,0.01067,0.77473,0.77901,0.77685,0.34419,1.95301,1.0025,0.01646,0.0006338,0.0006338,0.0006338
71,1501.77,1.54201,0.98963,0.01042,0.78682,0.77348,0.78661,0.33923,1.9576,1.02486,0.01647,0.000614,0.000614,0.000614
72,1521.26,1.50284,0.96321,0.00996,0.86863,0.76713,0.81233,0.3587,1.92729,0.98283,0.01627,0.0005942,0.0005942,0.0005942
73,1542.9,1.49165,0.95293,0.00992,0.85494,0.74891,0.79164,0.34613,1.96235,0.96591,0.01659,0.0005744,0.0005744,0.0005744
74,1562.38,1.50537,0.97114,0.01046,0.79974,0.75691,0.75801,0.35097,1.93467,0.98431,0.0162,0.0005546,0.0005546,0.0005546
75,1582.12,1.55234,1.02917,0.01083,0.84545,0.77348,0.80428,0.35905,1.92319,0.92907,0.01599,0.0005348,0.0005348,0.0005348
76,1603.44,1.5007,0.95322,0.01016,0.76041,0.76243,0.76301,0.35112,1.95057,0.89186,0.01639,0.000515,0.000515,0.000515
77,1623.42,1.51801,0.96514,0.01002,0.81245,0.74033,0.76951,0.34019,1.96524,0.98069,0.0164,0.0004952,0.0004952,0.0004952
78,1643.1,1.49307,0.93204,0.01001,0.79221,0.73725,0.74724,0.32763,1.99719,0.91941,0.01678,0.0004754,0.0004754,0.0004754
79,1664.81,1.50647,0.97191,0.0104,0.79697,0.77348,0.76623,0.33208,2.00259,0.9239,0.01681,0.0004556,0.0004556,0.0004556
80,1684.46,1.44944,0.95939,0.00944,0.80514,0.74033,0.76738,0.34294,1.97066,0.98441,0.01652,0.0004358,0.0004358,0.0004358
81,1703.98,1.48139,0.95774,0.00979,0.83285,0.75691,0.77518,0.33786,1.9569,0.97489,0.01632,0.000416,0.000416,0.000416
82,1725.36,1.4758,0.97745,0.00974,0.79934,0.75138,0.75655,0.33549,1.96374,0.9349,0.01648,0.0003962,0.0003962,0.0003962
83,1745.31,1.46023,0.93528,0.00987,0.80624,0.78164,0.76926,0.34366,1.99387,0.98137,0.01709,0.0003764,0.0003764,0.0003764
84,1765.15,1.48838,0.949,0.01003,0.79779,0.7629,0.7519,0.34369,1.9861,0.915,0.0168,0.0003566,0.0003566,0.0003566
85,1786.67,1.45366,0.91862,0.00983,0.801,0.75138,0.7445,0.33237,2.00889,0.88301,0.01721,0.0003368,0.0003368,0.0003368
86,1806.54,1.45769,0.93351,0.00986,0.81931,0.77348,0.76835,0.35,1.96793,0.92927,0.01665,0.000317,0.000317,0.000317
87,1826.28,1.45958,0.90651,0.00957,0.79612,0.77666,0.76144,0.34417,1.97251,0.92742,0.01667,0.0002972,0.0002972,0.0002972
88,1847.57,1.46155,0.92354,0.00995,0.82006,0.75539,0.78558,0.35287,1.95652,0.98536,0.01651,0.0002774,0.0002774,0.0002774
89,1867.83,1.47293,0.96843,0.00985,0.85791,0.71271,0.79384,0.35893,1.97196,0.91741,0.01664,0.0002576,0.0002576,0.0002576
90,1887.76,1.42664,0.923,0.00953,0.80916,0.75138,0.78452,0.35628,1.98078,0.92136,0.0167,0.0002378,0.0002378,0.0002378
91,1911.25,1.40915,0.71821,0.01175,0.81349,0.71271,0.76459,0.34392,1.98958,0.95937,0.01682,0.000218,0.000218,0.000218
92,1930.16,1.35714,0.69532,0.0111,0.82984,0.70056,0.76288,0.34725,1.96847,0.97347,0.01661,0.0001982,0.0001982,0.0001982
93,1948.87,1.3618,0.66975,0.0112,0.77537,0.72468,0.7475,0.34465,1.96187,0.99307,0.01652,0.0001784,0.0001784,0.0001784
94,1968.63,1.33689,0.68736,0.01086,0.7759,0.74602,0.77496,0.35141,1.97549,0.97836,0.01659,0.0001586,0.0001586,0.0001586
95,1988.32,1.31979,0.66253,0.01067,0.80739,0.74586,0.75774,0.34371,1.97027,0.9943,0.01656,0.0001388,0.0001388,0.0001388
